Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_YYYY-MM-DD,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_All,Prod_Merc_Positions_Short_All,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_All,M_Money_Positions_Short_All,M_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap__Positions_Short_Old,Swap__Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap__Positions_Short_Other,Swap__Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_Contract_Market_Code_Quotes,CFTC_Market_Code_Quotes,CFTC_Commodity_Code_Quotes,CFTC_SubGroup_Code,FutOnly_or_Combined
HENRY HUB - NEW YORK MERCANTILE EXCHANGE,240102,2024-01-02,03565B,NYME,1,23,382555,55119,34658,40400,270651,51384,638,0,0,208409,11139,4864,360814,372696,21741,9859,382555,55119,34658,40400,270651,51384,638,0,0,208409,11139,4864,360814,372696,21741,9859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  -18444,   -5981,   -1619,   -1836,  -13786,    -137,       0,       0,       0,   -8085,   -1521,    -944,  -16983,  -18007,   -1461,    -437,100.0,14.4,9.1,10.6,70.7,13.4,0.2,0.0,0.0,54.5,2.9,1.3,94.3,97.4,5.7,2.6,100.0,14.4,9.1,10.6,70.7,13.4,0.2,0.0,0.0,54.5,2.9,1.3,94.3,97.4,5.7,2.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,     10,      8,      4,     16,     11,.,      0,      0,      5,.,      7,32,     33,41,     10,      8,      4,     16,     11,.,      0,      0,      5,.,      7,32,     33,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,71.2,49.1,81.1,68.5,67.7,44.9,75.7,61.0,71.2,49.1,81.1,68.5,67.7,44.9,75.7,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 2,500  MMBTU'S)",03565B,NYME,23,N13,FutOnly
HENRY HUB PENULTIMATE NAT GAS - NEW YORK MERCANTILE EXCHANGE,240305,2024-03-05,03565C,NYME,1,23,140743,22621,14967,43108,35028,36547,5437,15387,12536,2523,12356,5191,127963,132012,12780,8731,140743,22621,14967,43108,35028,36547,5437,15387,12536,2523,12356,5191,127963,132012,12780,8731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     948,       8,     150,     344,     518,     301,      98,     392,       0,     210,    -400,     -13,     948,     948,       0,       0,100.0,16.1,10.6,30.6,24.9,26.0,3.9,10.9,8.9,1.8,8.8,3.7,90.9,93.8,9.1,6.2,100.0,16.1,10.6,30.6,24.9,26.0,3.9,10.9,8.9,1.8,8.8,3.7,90.9,93.8,9.1,6.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,      8,      6,      9,      6,     13,      5,.,      4,      5,      7,      9,41,     34,43,      8,      6,      9,      6,     13,      5,.,      4,      5,      7,      9,41,     34,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,34.2,41.7,55.4,62.2,23.2,33.8,32.0,43.2,34.2,41.7,55.4,62.2,23.2,33.8,32.0,43.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 2,500  MMBTU'S)",03565C,NYME,23,N13,FutOnly
HENRY HUB PENULTIMATE NAT GAS - NEW YORK MERCANTILE EXCHANGE,240227,2024-02-27,03565C,NYME,1,23,139795,22613,14817,42764,34510,36246,5339,14995,12536,2313,12756,5204,127015,131064,12780,8731,139795,22613,14817,42764,34510,36246,5339,14995,12536,2313,12756,5204,127015,131064,12780,8731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   -5851,    1256,     303,    -382,     460,   -1857,    -660,   -1461,    -584,   -2428,    -849,   -2083,   -6738,   -6071,     887,     220,100.0,16.2,10.6,30.6,24.7,25.9,3.8,10.7,9.0,1.7,9.1,3.7,90.9,93.8,9.1,6.2,100.0,16.2,10.6,30.6,24.7,25.9,3.8,10.7,9.0,1.7,9.1,3.7,90.9,93.8,9.1,6.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,      8,      6,      9,      6,     13,      5,.,      4,      5,      7,      9,41,     34,43,      8,      6,      9,      6,     13,      5,.,      4,      5,      7,      9,41,     34,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,33.9,41.7,55.2,62.3,23.5,33.7,31.9,43.1,33.9,41.7,55.2,62.3,23.5,33.7,31.9,43.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 2,500  MMBTU'S)",03565C,NYME,23,N13,FutOnly
HENRY HUB PENULTIMATE NAT GAS - NEW YORK MERCANTILE EXCHANGE,240220,2024-02-20,03565C,NYME,1,23,145646,21357,14514,43146,34050,38103,5999,16456,13120,4741,13605,7287,133753,137135,11893,8511,145646,21357,14514,43146,34050,38103,5999,16456,13120,4741,13605,7287,133753,137135,11893,8511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   -1493,     740,    -468,     312,    3412,   -2809,    -126,   -2024,    -302,    -103,     895,   -1421,   -3709,   -2717,    2216,    1224,100.0,14.7,10.0,29.6,23.4,26.2,4.1,11.3,9.0,3.3,9.3,5.0,91.8,94.2,8.2,5.8,100.0,14.7,10.0,29.6,23.4,26.2,4.1,11.3,9.0,3.3,9.3,5.0,91.8,94.2,8.2,5.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,      7,      5,     10,      5,     13,      6,.,      6,      8,      7,     11,43,     38,46,      7,      5,     10,      5,     13,      6,.,      6,      8,      7,     11,43,     38,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,32.7,40.4,53.5,60.8,23.2,32.4,31.6,41.6,32.7,40.4,53.5,60.8,23.2,32.4,31.6,41.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 2,500  MMBTU'S)",03565C,NYME,23,N13,FutOnly
HENRY HUB PENULTIMATE NAT GAS - NEW YORK MERCANTILE EXCHANGE,240213,2024-02-13,03565C,NYME,1,23,147139,20617,14982,42834,30638,40912,6125,18480,13422,4844,12710,8708,137462,139852,9677,7287,147139,20617,14982,42834,30638,40912,6125,18480,13422,4844,12710,8708,137462,139852,9677,7287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    8248,     169,       0,    2775,   11170,   -3460,     426,   -8694,    8694,    -447,     566,    -105,    8052,    8171,     196,      77,100.0,14.0,10.2,29.1,20.8,27.8,4.2,12.6,9.1,3.3,8.6,5.9,93.4,95.0,6.6,5.0,100.0,14.0,10.2,29.1,20.8,27.8,4.2,12.6,9.1,3.3,8.6,5.9,93.4,95.0,6.6,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,      7,      5,     10,      5,     13,      6,.,      6,      7,      8,     12,44,     38,46,      7,      5,     10,      5,     13,      6,.,      6,      7,      8,     12,44,     38,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,32.8,39.3,54.2,60.1,21.6,29.5,30.1,39.8,32.8,39.3,54.2,60.1,21.6,29.5,30.1,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 2,500  MMBTU'S)",03565C,NYME,23,N13,FutOnly
HENRY HUB PENULTIMATE NAT GAS - NEW YORK MERCANTILE EXCHANGE,240206,2024-02-06,03565C,NYME,1,23,138891,20448,14982,40059,19468,44372,5699,27174,4728,5291,12144,8813,129410,131681,9481,7210,138891,20448,14982,40059,19468,44372,5699,27174,4728,5291,12144,8813,129410,131681,9481,7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    3186,     483,     807,    -468,    -550,    1213,     410,    1086,     200,    2263,    1372,    -871,    3230,    3257,     -44,     -71,100.0,14.7,10.8,28.8,14.0,31.9,4.1,19.6,3.4,3.8,8.7,6.3,93.2,94.8,6.8,5.2,100.0,14.7,10.8,28.8,14.0,31.9,4.1,19.6,3.4,3.8,8.7,6.3,93.2,94.8,6.8,5.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,      7,      5,      8,      7,     13,      5,      4,      4,     10,      5,     12,42,     38,46,      7,      5,      8,      7,     13,      5,      4,      4,     10,      5,     12,42,     38,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,37.3,35.8,55.3,57.4,23.1,28.0,31.4,38.7,37.3,35.8,55.3,57.4,23.1,28.0,31.4,38.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 2,500  MMBTU'S)",03565C,NYME,23,N13,FutOnly
HENRY HUB PENULTIMATE NAT GAS - NEW YORK MERCANTILE EXCHANGE,240130,2024-01-30,03565C,NYME,1,23,135705,19965,14175,40527,20018,43159,5289,26088,4528,3028,10772,9684,126180,128424,9525,7281,135705,19965,14175,40527,20018,43159,5289,26088,4528,3028,10772,9684,126180,128424,9525,7281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   -4914,   -1363,   -2921,   -3503,     217,    -666,      61,    2369,    -670,    -196,   -3471,    -226,   -6563,   -5368,    1649,     454,100.0,14.7,10.4,29.9,14.8,31.8,3.9,19.2,3.3,2.2,7.9,7.1,93.0,94.6,7.0,5.4,100.0,14.7,10.4,29.9,14.8,31.8,3.9,19.2,3.3,2.2,7.9,7.1,93.0,94.6,7.0,5.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,      7,      5,      8,      7,     13,      4,.,.,      7,      6,     11,39,     35,42,      7,      5,      8,      7,     13,      4,.,.,      7,      6,     11,39,     35,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,38.6,36.6,55.9,58.0,24.0,28.7,32.4,37.6,38.6,36.6,55.9,58.0,24.0,28.7,32.4,37.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 2,500  MMBTU'S)",03565C,NYME,23,N13,FutOnly
HENRY HUB PENULTIMATE NAT GAS - NEW YORK MERCANTILE EXCHANGE,240123,2024-01-23,03565C,NYME,1,23,140619,21328,17096,44030,19801,43825,5228,23719,5198,3224,14243,9910,132743,133792,7876,6827,140619,21328,17096,44030,19801,43825,5228,23719,5198,3224,14243,9910,132743,133792,7876,6827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     728,    2604,      84,   -1197,    -109,    -738,       0,     657,     -68,    -517,     105,     741,     825,     672,     -97,      56,100.0,15.2,12.2,31.3,14.1,31.2,3.7,16.9,3.7,2.3,10.1,7.0,94.4,95.1,5.6,4.9,100.0,15.2,12.2,31.3,14.1,31.2,3.7,16.9,3.7,2.3,10.1,7.0,94.4,95.1,5.6,4.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,      9,      8,      9,      7,     12,      4,.,.,      8,      7,     12,44,     38,48,      9,      8,      9,      7,     12,      4,.,.,      8,      7,     12,44,     38,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,37.4,35.7,54.7,57.1,24.5,27.8,33.0,37.5,37.4,35.7,54.7,57.1,24.5,27.8,33.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 2,500  MMBTU'S)",03565C,NYME,23,N13,FutOnly
HENRY HUB PENULTIMATE NAT GAS - NEW YORK MERCANTILE EXCHANGE,240116,2024-01-16,03565C,NYME,1,23,139891,18724,17012,45227,19910,44563,5228,23062,5266,3741,14138,9169,131918,133120,7973,6771,139891,18724,17012,45227,19910,44563,5228,23062,5266,3741,14138,9169,131918,133120,7973,6771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    2983,    -840,    1728,     187,   -3989,    3357,    -487,     123,     -67,     277,    1823,     689,    3116,    3664,    -133,    -681,100.0,13.4,12.2,32.3,14.2,31.9,3.7,16.5,3.8,2.7,10.1,6.6,94.3,95.2,5.7,4.8,100.0,13.4,12.2,32.3,14.2,31.9,3.7,16.5,3.8,2.7,10.1,6.6,94.3,95.2,5.7,4.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,      8,      8,     11,      6,     13,      4,.,.,      7,      8,     12,44,     39,47,      8,      8,     11,      6,     13,      4,.,.,      7,      8,     12,44,     39,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,37.9,36.6,55.2,58.4,25.1,27.8,33.2,38.1,37.9,36.6,55.2,58.4,25.1,27.8,33.2,38.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 2,500  MMBTU'S)",03565C,NYME,23,N13,FutOnly
HENRY HUB PENULTIMATE NAT GAS - NEW YORK MERCANTILE EXCHANGE,240109,2024-01-09,03565C,NYME,1,23,136908,19564,15284,45040,23899,41206,5715,22939,5333,3464,12315,8480,128802,129456,8106,7452,136908,19564,15284,45040,23899,41206,5715,22939,5333,3464,12315,8480,128802,129456,8106,7452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    3968,   -1463,     450,   -1497,   -2537,    6108,    -158,       0,     188,     194,   -1144,     351,    3723,    3416,     245,     552,100.0,14.3,11.2,32.9,17.5,30.1,4.2,16.8,3.9,2.5,9.0,6.2,94.1,94.6,5.9,5.4,100.0,14.3,11.2,32.9,17.5,30.1,4.2,16.8,3.9,2.5,9.0,6.2,94.1,94.6,5.9,5.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,      7,      7,     10,      7,     13,      5,.,.,      7,      6,     10,41,     36,44,      7,      7,     10,      7,     13,      5,.,.,      7,      6,     10,41,     36,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,37.9,37.7,55.9,60.0,25.9,28.4,35.4,40.3,37.9,37.7,55.9,60.0,25.9,28.4,35.4,40.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 2,500  MMBTU'S)",03565C,NYME,23,N13,FutOnly
HENRY HUB PENULTIMATE NAT GAS - NEW YORK MERCANTILE EXCHANGE,240102,2024-01-02,03565C,NYME,1,23,132940,21027,14834,46537,26436,35098,5873,22939,5145,3270,13459,8129,125079,126040,7861,6900,132940,21027,14834,46537,26436,35098,5873,22939,5145,3270,13459,8129,125079,126040,7861,6900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   -2308,    -527,   -1661,   -1065,   -7875,     418,     843,    7181,    -842,    -778,    -173,    -428,   -2379,   -3380,      71,    1072,100.0,15.8,11.2,35.0,19.9,26.4,4.4,17.3,3.9,2.5,10.1,6.1,94.1,94.8,5.9,5.2,100.0,15.8,11.2,35.0,19.9,26.4,4.4,17.3,3.9,2.5,10.1,6.1,94.1,94.8,5.9,5.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,      7,      7,     10,      7,     13,      5,.,.,      7,      6,      9,41,     35,44,      7,      7,     10,      7,     13,      5,.,.,      7,      6,      9,41,     35,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,38.5,39.2,55.4,62.1,27.9,29.3,37.8,42.9,38.5,39.2,55.4,62.1,27.9,29.3,37.8,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 2,500  MMBTU'S)",03565C,NYME,23,N13,FutOnly
USD Malaysian Crude Palm Oil C - CHICAGO MERCANTILE EXCHANGE,240305,2024-03-05,037021,CME ,0,37,39909,28200,16801,1000,9618,1370,80,880,680,840,2741,7719,39889,39809,20,100,39909,28200,16801,1000,9618,1370,80,880,680,840,2741,7719,39889,39809,20,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   -5751,   -2890,   -4070,     -70,   -1210,     -10,      80,    -480,     360,   -2800,     -20,    -421,   -5751,   -5851,       0,     100,100.0,70.7,42.1,2.5,24.1,3.4,0.2,2.2,1.7,2.1,6.9,19.3,99.9,99.7,0.1,0.3,100.0,70.7,42.1,2.5,24.1,3.4,0.2,2.2,1.7,2.1,6.9,19.3,99.9,99.7,0.1,0.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,      8,     12,.,.,.,.,.,.,.,      9,      4,21,     25,31,      8,     12,.,.,.,.,.,.,.,      9,      4,21,     25,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,82.5,57.0,92.5,80.6,59.7,38.0,60.7,49.9,82.5,57.0,92.5,80.6,59.7,38.0,60.7,49.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 25 METRIC TONS),037021,CME ,37,A30,FutOnly
USD Malaysian Crude Palm Oil C - CHICAGO MERCANTILE EXCHANGE,240227,2024-02-27,037021,CME ,0,37,45660,31090,20871,1070,10828,1380,0,1360,320,3640,2761,8140,45640,45660,20,0,45660,31090,20871,1070,10828,1380,0,1360,320,3640,2761,8140,45640,45660,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    2920,    2400,     540,     -40,    1980,    -180,       0,     420,     -40,    1180,     520,    -320,    3000,    2920,     -80,       0,100.0,68.1,45.7,2.3,23.7,3.0,0.0,3.0,0.7,8.0,6.0,17.8,100.0,100.0,0.0,0.0,100.0,68.1,45.7,2.3,23.7,3.0,0.0,3.0,0.7,8.0,6.0,17.8,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,      8,     11,.,.,.,      0,.,.,      5,      4,.,19,     21,28,      8,     11,.,.,.,      0,.,.,      5,      4,.,19,     21,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,79.7,58.7,91.1,84.4,60.1,43.1,63.4,59.7,79.7,58.7,91.1,84.4,60.1,43.1,63.4,59.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 25 METRIC TONS),037021,CME ,37,A30,FutOnly
USD Malaysian Crude Palm Oil C - CHICAGO MERCANTILE EXCHANGE,240220,2024-02-20,037021,CME ,0,37,42740,28690,20331,1110,8848,1560,0,940,360,2460,2241,8460,42640,42740,100,0,42740,28690,20331,1110,8848,1560,0,940,360,2460,2241,8460,42640,42740,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    2050,    1410,    -610,       0,    1060,       0,       0,     240,      80,    -360,     380,     900,    2030,    2050,      20,       0,100.0,67.1,47.6,2.6,20.7,3.6,0.0,2.2,0.8,5.8,5.2,19.8,99.8,100.0,0.2,0.0,100.0,67.1,47.6,2.6,20.7,3.6,0.0,2.2,0.8,5.8,5.2,19.8,99.8,100.0,0.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,      8,     10,.,.,.,      0,.,.,      4,.,.,18,     19,25,      8,     10,.,.,.,      0,.,.,      4,.,.,18,     19,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,79.7,59.2,90.9,84.9,59.1,44.1,62.9,59.2,79.7,59.2,90.9,84.9,59.1,44.1,62.9,59.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 25 METRIC TONS),037021,CME ,37,A30,FutOnly
USD Malaysian Crude Palm Oil C - CHICAGO MERCANTILE EXCHANGE,240213,2024-02-13,037021,CME ,0,37,40690,27280,20941,1110,7788,1560,0,700,280,2820,1861,7560,40610,40690,80,0,40690,27280,20941,1110,7788,1560,0,700,280,2820,1861,7560,40610,40690,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    1190,     450,    -270,       0,     500,       0,       0,     440,       0,     740,     520,       0,    1190,    1190,       0,       0,100.0,67.0,51.5,2.7,19.1,3.8,0.0,1.7,0.7,6.9,4.6,18.6,99.8,100.0,0.2,0.0,100.0,67.0,51.5,2.7,19.1,3.8,0.0,1.7,0.7,6.9,4.6,18.6,99.8,100.0,0.2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,      9,     10,.,.,.,      0,.,.,      5,      4,.,20,     20,28,      9,     10,.,.,.,      0,.,.,      5,      4,.,20,     20,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,77.6,58.0,88.9,83.5,58.3,46.4,62.5,59.5,77.6,58.0,88.9,83.5,58.3,46.4,62.5,59.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 25 METRIC TONS),037021,CME ,37,A30,FutOnly
